Cell_Quality	cell_count	site	plate	well	site_location	Metadata_dataset_split
Perfect	4030	SABER_Plate_1-Well5-65	SABER_Plate_1	Well5	65	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3530	SABER_Plate_1-Well5-65	SABER_Plate_1	Well5	65	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	1808	SABER_Plate_1-Well5-65	SABER_Plate_1	Well5	65	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	1208	SABER_Plate_1-Well5-65	SABER_Plate_1	Well5	65	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	1116	SABER_Plate_1-Well5-65	SABER_Plate_1	Well5	65	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	3902	SABER_Plate_1-Well6-37	SABER_Plate_1	Well6	37	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3512	SABER_Plate_1-Well6-37	SABER_Plate_1	Well6	37	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	2222	SABER_Plate_1-Well6-37	SABER_Plate_1	Well6	37	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	1262	SABER_Plate_1-Well6-37	SABER_Plate_1	Well6	37	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	1178	SABER_Plate_1-Well6-37	SABER_Plate_1	Well6	37	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	1179	SABER_Plate_1-Well4-93	SABER_Plate_1	Well4	93	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	855	SABER_Plate_1-Well4-93	SABER_Plate_1	Well4	93	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	665	SABER_Plate_1-Well4-93	SABER_Plate_1	Well4	93	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	182	SABER_Plate_1-Well4-93	SABER_Plate_1	Well4	93	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	162	SABER_Plate_1-Well4-93	SABER_Plate_1	Well4	93	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	4349	SABER_Plate_1-Well2-77	SABER_Plate_1	Well2	77	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	2933	SABER_Plate_1-Well2-77	SABER_Plate_1	Well2	77	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	1530	SABER_Plate_1-Well2-77	SABER_Plate_1	Well2	77	ALLBATCHES___SABER_Plate_1___ALLWELLS
